je_package	je_class	je_test_method	je_test_path	je_test_doc	noxu_status	noxu_test_path	noxu_test_method	effort_estimate	priority	notes
com/sleepycat/je/trigger	ConfigTest	testConflictingTypes	test/com/sleepycat/je/trigger/ConfigTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=conflicting_types); behaviour-level check needed
com/sleepycat/je/trigger	ConfigTest	testConflictingNames	test/com/sleepycat/je/trigger/ConfigTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=conflicting_names); behaviour-level check needed
com/sleepycat/je/trigger	ConfigTest	testSecondaryConfig	test/com/sleepycat/je/trigger/ConfigTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=secondary_config); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testAddRemoveTriggerExistindDbTrans	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=add_remove_trigger_existind_db_trans); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testAddRemoveTriggerExistindDbAuto	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=add_remove_trigger_existind_db_auto); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testBasicTransientTrigger	test/com/sleepycat/je/trigger/InvokeTest.java	Simply verifies that transient triggers are indeed transient, i.e., not stored in the DatabaseImpl.	NOT-PORTED			medium	medium	no matching test by name (snake=basic_transient_trigger); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testCreateAuto	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=create_auto); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testCreateTrans	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=create_trans); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testOpenAuto	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=open_auto); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testOpenTrans	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=open_trans); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testClose	test/com/sleepycat/je/trigger/InvokeTest.java		PORTED-EQUIVALENT	crates/noxu-db/src/cursor.rs	test_close	small	medium	name-match heuristic; 3 candidate Noxu tests
com/sleepycat/je/trigger	InvokeTest	testRenameAuto	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=rename_auto); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testRenameTrans	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=rename_trans); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testRenameAbort	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=rename_abort); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testTruncateAuto	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=truncate_auto); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testTruncateTrans	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=truncate_trans); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testRemoveAuto	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_auto); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testRemoveTrans	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=remove_trans); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testKVOpsAuto	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=kv_ops_auto); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testKVOpsTrans	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=kv_ops_trans); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testKVOpsAbort	test/com/sleepycat/je/trigger/InvokeTest.java		NOT-PORTED			medium	medium	no matching test by name (snake=kv_ops_abort); behaviour-level check needed
com/sleepycat/je/trigger	InvokeTest	testBasicRecovery	test/com/sleepycat/je/trigger/InvokeTest.java	Ensure recovery replay of MapLNs executes properly.	NOT-PORTED			large	medium	no matching test by name (snake=basic_recovery); behaviour-level check needed
